Number,Description,Last Updated,SEC Number,Topic(s),page
S-8,Registration statement under Securities Act of 1933 to be offered to employees pursuant to certain plans (PDF),Jan. 2022,SEC1398,"Securities Act of 1933, Public Companies",6
SBSE,Application for Registration of Security-based Swap Dealers and Major Security-based Swap Participants (PDF),Sept. 2019,SEC2924,"Dodd-Frank Act of 2010, Securities Exchange Act of 1934",6
SBSE-A,Application for Registration of Security-based Swap Dealers and Major Security-based Swap Participants that are Registered or Registering with the Commodity Futures Trading Commission as a Swap Dealer (PDF),Sept. 2019,SEC2925,"Dodd-Frank Act of 2010, Securities Exchange Act of 1934",6
SBSE-BD,Application for Registration of Security-based Swap Dealers and Major Security-based Swap Participants that are Registered Broker-dealers (PDF),Sept. 2019,SEC2926,"Dodd-Frank Act of 2010, Securities Exchange Act of 1934",6
SBSE-C,Certifications for Registration of Security-based Swap Dealers and Major Security-based Swap Participants (PDF),Jan. 2016,SEC2927,"Dodd-Frank Act of 2010, Securities Exchange Act of 1934",6
SBSE-W,Request for Withdrawal from Registration as a Security-based Swap Dealer or Major Security-based Swap Participant (PDF),Jan. 2016,SEC2928,"Dodd-Frank Act of 2010, Securities Exchange Act of 1934",6
SBSEF,Security-Based Swap Execution Facility Application for Registration (with Amendment to Application) (and SBSEF Submission Cover Sheet) (PDF),April 2024,,Securities Exchange Act of 1934,6
SCI,Systems Compliance and Integrity (PDF),Sept. 2015,SEC 2919,"Securities Exchange Act of 1934, Self-Regulatory Organizations, Clearing Agencies",6
SD,Specialized Disclosure Report (PDF),Sept. 2021,SEC697,"Securities Exchange Act of 1934, Public Companies",6
SDR,Application or Amendment to Application for Registration or Withdrawal from Registration As Security-Based Swap Data Repository Under the Securities Exchange Act of 1934 (PDF),Dec. 2024,SEC2911,"Dodd-Frank Act of 2010, SBS Data Repositories, Securities Exchange Act of 1934",6
SE,Form for Submission of Paper Format Exhibits by EDGAR Electronic Filers (PDF),Nov. 2011,SEC2082,EDGAR Filers,6
SE,Submission of Paper Format Exhibits by Electronic Filers (PDF),Nov. 2011,SEC2082,"Securities Act of 1933, Securities Exchange Act of 1934, EDGAR Filers",6
SF-1,Registration Statement Under the Securities Act of 1933 (PDF),Feb. 2025,SEC2908,Securities Act of 1933,6
SF-3,Registration Statement Under the Securities Act of 1933 (PDF),Jan. 2022,SEC2909,Securities Act of 1933,6
SIP,Application or amendment to application for registration as securities information processor (PDF),March 2014,SEC1939,Other Forms and Materials,6
T-1,Statement of eligibility and qualification under the Trust Indenture Act of 1939 of corporations designated to act as trustees (PDF),Jan. 2007,SEC1836,Trust Indenture Act of 1939,6
T-2,Statement of eligibility under the Trust Indenture Act of 1939 of an individual designated to act as trustee (PDF),Jan. 2007,SEC1849,Trust Indenture Act of 1939,6
T-3,For applications for qualification of indentures under the Trust Indenture Act of 1939 (PDF),Jan. 2007,SEC1919,Trust Indenture Act of 1939,6
T-4,Application for exemption filed pursuant to Section 304(c) of the Trust Indenture Act of 1939 (PDF),Jan. 2007,SEC1920,Trust Indenture Act of 1939,6
T-6,Application under Section 310(a)(1) of the Trust Indenture Act of 1939 for determination of eligibility of a foreign personal to act as institutional trustee (PDF),Jan. 2007,SEC2275,Trust Indenture Act of 1939,6
TA-1,Uniform form for registration as a transfer agent and for amendment to registration (PDF),Dec. 2006,SEC1528,Transfer Agents,6
TA-2,Form for reporting activities of transfer agents (PDF),Aug. 2012,SEC2113,Transfer Agents,6
TA-W,Notice of withdrawal from registration as transfer agent (PDF),Jan. 2024,SEC1669,Transfer Agents,7
TCR,"Tip, Complaint, or Referral (PDF)",Aug. 2011,SEC2850,"Tips Complaints and Referrals, Whistleblower",7
TH,Notification of Reliance on Temporary Hardship Exemption (PDF),July 2006,SEC2348,"Securities Act of 1933, Securities Exchange Act of 1934, EDGAR Filers",7
WB-APP,Application for Award for Original Information Submitted Pursuant to Section 21F of the Securities Exchange Act of 1934 (PDF),Aug. 2011,SEC2851,"Tips Complaints and Referrals, Whistleblower",7
X-17A-19,Report of Change in Membership Status (PDF),July 2001,SEC1414,Self-Regulatory Organizations,7
X-17A-5 Part I,"FOCUS Report, Part I (PDF)",April 2003,SEC1705,"Security-Based Swap Entities, Broker-Dealers",7
X-17A-5 Part II,"FOCUS Report, Part II Instructions (PDF)",Oct. 2021,SEC1695A,"Security-Based Swap Entities, Broker-Dealers",7
X-17A-5 Part II,"FOCUS Report, Part II (PDF)",July 2024,SEC1695,"Security-Based Swap Entities, Broker-Dealers",7
X-17A-5 Part IIA,FOCUS Report Part IIa Instructions (PDF),Nov. 2018,SEC1696A,"Security-Based Swap Entities, Broker-Dealers",7
X-17A-5 Part IIA,FOCUS Report Part IIa (PDF),Nov. 2018,SEC1696,"Security-Based Swap Entities, Broker-Dealers",7
X-17A-5 Part IIC,"FOCUS Report, Part IIC Instructions (PDF)",Oct. 2021,,Security-Based Swap Entities,7
X-17A-5 Part IIC,"FOCUS Report, Part IIC (PDF)",July 2024,,Security-Based Swap Entities,7
X-17A-5 Part III,FOCUS Report Part III (PDF),Oct. 2021,SEC1410,"Security-Based Swap Entities, Broker-Dealers",7
X-17A-5 Schedule I,(Financial and Operational Combined Uniform Single) FOCUS Report: Information Required of All Brokers and Dealers Pursuant to Rule 17a-5 (PDF),Dec. 2023,SEC1675,"Security-Based Swap Entities, Broker-Dealers",7
X-17F-1A,Missing/Lost/Stolen/Counterfeit Securities Report (PDF),May 2001,SEC1666,Broker-Dealers,7
